#Total cluster, Fake cluster, Percentage fake, Real roads, Extracted roads, Exceeded roads, Found roads, Percentage success, Percentage accumulator density
2400,1920,0.8,30,8085,8055,253,1.00,0.54
4800,4320,0.9,30,88036,88006,3414,1.00,0.74
496,0,0,31,36,5,29,0.94,0.05
551,55,0.1,31,36,5,29,0.94,0.06
620,124,0.2,31,36,5,29,0.94,0.08
708,212,0.3,31,37,6,29,0.94,0.11
826,330,0.4,31,39,8,29,0.94,0.15
992,496,0.5,31,47,16,29,0.94,0.22
1239,743,0.6,31,162,131,34,0.97,0.30
1653,1157,0.7,31,1119,1088,54,0.97,0.41
2480,1984,0.8,31,11385,11354,341,0.97,0.56
4960,4464,0.9,31,98011,97980,3857,1.00,0.75
512,0,0,32,34,2,29,0.91,0.05
568,56,0.1,32,35,3,29,0.91,0.06
640,128,0.2,32,35,3,29,0.91,0.08
731,219,0.3,32,37,5,29,0.91,0.11
853,341,0.4,32,38,6,30,0.94,0.16
1024,512,0.5,32,48,16,30,0.94,0.22
1279,767,0.6,32,126,94,32,0.94,0.30
1706,1194,0.7,32,1010,978,52,0.94,0.42
2560,2048,0.8,32,10514,10482,311,0.97,0.56
5120,4608,0.9,32,107541,107509,4222,0.97,0.76
528,0,0,33,34,1,30,0.91,0.05
586,58,0.1,33,36,3,31,0.94,0.06
660,132,0.2,33,36,3,31,0.94,0.08
754,226,0.3,33,36,3,31,0.94,0.11
880,352,0.4,33,40,7,31,0.94,0.16
1056,528,0.5,33,55,22,31,0.94,0.23
1320,792,0.6,33,184,151,32,0.94,0.32
1759,1231,0.7,33,1393,1360,53,0.94,0.43
2640,2112,0.8,33,13800,13767,407,0.94,0.58
5280,4752,0.9,33,119317,119284,4764,1.00,0.78
544,0,0,34,38,4,32,0.94,0.06
604,60,0.1,34,39,5,32,0.94,0.07
680,136,0.2,34,39,5,32,0.94,0.09
777,233,0.3,34,40,6,32,0.94,0.12
906,362,0.4,34,46,12,32,0.94,0.17
1088,544,0.5,34,60,26,33,0.94,0.24
1359,815,0.6,34,203,169,35,0.94,0.32
1813,1269,0.7,34,1734,1700,77,0.97,0.44
2720,2176,0.8,34,16280,16246,496,0.97,0.59
5440,4896,0.9,34,127855,127821,5019,1.00,0.78
560,0,0,35,37,2,31,0.89,0.06
622,62,0.1,35,37,2,31,0.89,0.07
700,140,0.2,35,37,2,31,0.89,0.09
800,240,0.3,35,39,4,31,0.89,0.12
933,373,0.4,35,44,9,33,0.94,0.17
1120,560,0.5,35,64,29,33,0.94,0.24
1400,840,0.6,35,216,181,34,0.94,0.33
1866,1306,0.7,35,1858,1823,60,0.94,0.44
2800,2240,0.8,35,16311,16276,531,0.94,0.59
5600,5040,0.9,35,130289,130254,5251,1.00,0.78
576,0,0,36,41,5,36,1.00,0.06
640,64,0.1,36,41,5,36,1.00,0.07
720,144,0.2,36,41,5,36,1.00,0.09
822,246,0.3,36,42,6,36,1.00,0.12
960,384,0.4,36,46,10,36,1.00,0.17
1152,576,0.5,36,59,23,36,1.00,0.24
1439,863,0.6,36,229,193,38,1.00,0.34
1919,1343,0.7,36,1954,1918,82,1.00,0.46
2880,2304,0.8,36,18444,18408,587,1.00,0.61
5760,5184,0.9,36,146872,146836,5841,1.00,0.80
592,0,0,37,36,-1,34,0.92,0.06
657,65,0.1,37,36,-1,34,0.92,0.07
740,148,0.2,37,38,1,34,0.92,0.09
845,253,0.3,37,38,1,34,0.92,0.13
986,394,0.4,37,41,4,34,0.92,0.18
1184,592,0.5,37,51,14,34,0.92,0.25
1479,887,0.6,37,242,205,36,0.92,0.34
1973,1381,0.7,37,2424,2387,82,0.92,0.46
2960,2368,0.8,37,20412,20375,695,0.95,0.61
5920,5328,0.9,37,154186,154149,6329,0.97,0.80
608,0,0,38,44,6,37,0.97,0.06
675,67,0.1,38,44,6,37,0.97,0.07
760,152,0.2,38,45,7,37,0.97,0.09
868,260,0.3,38,47,9,37,0.97,0.13
1013,405,0.4,38,49,11,37,0.97,0.18
1216,608,0.5,38,80,42,37,0.97,0.26
1520,912,0.6,38,304,266,43,0.97,0.35
2026,1418,0.7,38,2882,2844,105,0.97,0.47
3040,2432,0.8,38,25105,25067,829,1.00,0.63
6080,5472,0.9,38,175908,175870,7116,1.00,0.82
624,0,0,39,44,5,37,0.95,0.06
693,69,0.1,39,44,5,37,0.95,0.07
780,156,0.2,39,44,5,37,0.95,0.09
891,267,0.3,39,46,7,37,0.95,0.13
1040,416,0.4,39,47,8,37,0.95,0.18
1248,624,0.5,39,69,30,38,0.97,0.26
1559,935,0.6,39,317,278,40,0.97,0.36
2079,1455,0.7,39,2939,2900,104,0.97,0.48
3120,2496,0.8,39,24394,24355,818,0.97,0.63
6240,5616,0.9,39,171215,171176,7022,1.00,0.82
640,0,0,40,48,8,40,1.00,0.06
711,71,0.1,40,48,8,40,1.00,0.07
800,160,0.2,40,49,9,40,1.00,0.09
914,274,0.3,40,50,10,41,1.00,0.13
1066,426,0.4,40,52,12,42,1.00,0.19
1280,640,0.5,40,77,37,45,1.00,0.26
1600,960,0.6,40,424,384,51,1.00,0.36
2133,1493,0.7,40,3525,3485,111,1.00,0.49
3200,2560,0.8,40,28410,28370,944,1.00,0.65
6400,5760,0.9,40,187437,187397,7761,1.00,0.83
656,0,0,41,47,6,39,0.95,0.07
728,72,0.1,41,48,7,39,0.95,0.08
820,164,0.2,41,51,10,39,0.95,0.10
937,281,0.3,41,53,12,39,0.95,0.14
1093,437,0.4,41,57,16,39,0.95,0.20
1312,656,0.5,41,94,53,39,0.95,0.27
1639,983,0.6,41,542,501,52,0.95,0.37
2186,1530,0.7,41,4525,4484,150,0.98,0.50
3280,2624,0.8,41,34120,34079,1171,0.98,0.65
6560,5904,0.9,41,199718,199677,8062,1.00,0.83
672,0,0,42,43,1,35,0.83,0.06
746,74,0.1,42,43,1,35,0.83,0.07
840,168,0.2,42,44,2,35,0.83,0.10
960,288,0.3,42,47,5,35,0.83,0.14
1120,448,0.4,42,56,14,36,0.83,0.20
1344,672,0.5,42,89,47,37,0.86,0.28
1679,1007,0.6,42,562,520,43,0.90,0.38
2239,1567,0.7,42,4422,4380,138,0.95,0.50
3360,2688,0.8,42,33839,33797,1145,0.98,0.66
6720,6048,0.9,42,211584,211542,8635,0.98,0.84
688,0,0,43,48,5,41,0.95,0.07
764,76,0.1,43,49,6,41,0.95,0.08
859,171,0.2,43,51,8,41,0.95,0.10
982,294,0.3,43,53,10,41,0.95,0.14
1146,458,0.4,43,61,18,41,0.95,0.20
1376,688,0.5,43,109,66,42,0.95,0.28
1720,1032,0.6,43,622,579,51,0.95,0.39
2293,1605,0.7,43,4916,4873,159,0.95,0.51
3440,2752,0.8,43,36187,36144,1298,0.95,0.66
6880,6192,0.9,43,217798,217755,9007,0.98,0.84
704,0,0,44,41,-3,38,0.86,0.07
782,78,0.1,44,41,-3,38,0.86,0.08
880,176,0.2,44,43,-1,39,0.89,0.11
1005,301,0.3,44,44,0,39,0.89,0.15
1173,469,0.4,44,55,11,39,0.89,0.21
1408,704,0.5,44,133,89,40,0.91,0.29
1759,1055,0.6,44,755,711,54,0.93,0.39
2346,1642,0.7,44,6033,5989,183,0.93,0.52
3520,2816,0.8,44,44648,44604,1591,0.93,0.68
7040,6336,0.9,44,235845,235801,9355,0.98,0.85
720,0,0,45,53,8,42,0.93,0.07
800,80,0.1,45,53,8,42,0.93,0.08
900,180,0.2,45,54,9,42,0.93,0.11
1028,308,0.3,45,56,11,42,0.93,0.15
1200,480,0.4,45,64,19,43,0.96,0.22
1440,720,0.5,45,129,84,43,0.96,0.30
1800,1080,0.6,45,924,879,58,0.98,0.40
2399,1679,0.7,45,7516,7471,229,0.98,0.53
3600,2880,0.8,45,49490,49445,1736,0.98,0.68
7200,6480,0.9,45,240416,240371,9753,1.00,0.85
736,0,0,46,51,5,45,0.98,0.07
817,81,0.1,46,51,5,45,0.98,0.08
920,184,0.2,46,51,5,45,0.98,0.11
1051,315,0.3,46,53,7,45,0.98,0.15
1226,490,0.4,46,66,20,46,1.00,0.21
1472,736,0.5,46,148,102,46,1.00,0.30
1839,1103,0.6,46,857,811,60,1.00,0.40
2453,1717,0.7,46,7475,7429,217,1.00,0.54
3680,2944,0.8,46,50175,50129,1792,1.00,0.69
7360,6624,0.9,46,247234,247188,10300,1.00,0.86
752,0,0,47,54,7,43,0.91,0.07
835,83,0.1,47,55,8,43,0.91,0.08
940,188,0.2,47,56,9,44,0.94,0.11
1074,322,0.3,47,57,10,44,0.94,0.16
1253,501,0.4,47,64,17,44,0.94,0.22
1504,752,0.5,47,141,94,45,0.96,0.30
1880,1128,0.6,47,1062,1015,54,0.96,0.41
2506,1754,0.7,47,8402,8355,254,0.96,0.54
3760,3008,0.8,47,53056,53009,1941,0.98,0.69
7520,6768,0.9,47,255743,255696,10592,0.98,0.86
768,0,0,48,46,-2,42,0.88,0.07
853,85,0.1,48,46,-2,42,0.88,0.08
960,192,0.2,48,49,1,42,0.88,0.11
1097,329,0.3,48,51,3,42,0.88,0.15
1280,512,0.4,48,59,11,42,0.88,0.22
